Itemset	day	sentiment
( 242, 963, 771)	4	0
( 242, 963, 771)	5	14
( 242, 963, 771)	6	54
( 242, 963, 943)	0	0
( 242, 963, 943)	1	-85
( 242, 963, 943)	2	-37
( 242, 963, 943)	3	0
( 242, 963, 943)	4	0
( 242, 963, 943)	5	15
( 242, 963, 943)	6	33
( 242, 771, 943)	0	0
( 242, 771, 943)	1	-96
( 242, 771, 943)	2	-27
( 242, 771, 943)	3	0
( 242, 771, 943)	4	0
( 242, 771, 943)	5	7
( 242, 771, 943)	6	48
( 995, 963, 771)	0	0
( 995, 963, 771)	1	-87
( 995, 963, 771)	2	-42
( 995, 963, 771)	3	0
( 995, 963, 771)	4	0
( 995, 963, 771)	5	13
( 995, 963, 771)	6	68
( 995, 963, 943)	0	0
( 995, 963, 943)	1	-69
( 995, 963, 943)	2	-42
( 995, 963, 943)	3	0
( 995, 963, 943)	4	0
( 995, 963, 943)	5	14
( 995, 963, 943)	6	47
( 995, 771, 943)	0	0
( 995, 771, 943)	1	-80
( 995, 771, 943)	2	-32
( 995, 771, 943)	3	0
( 995, 771, 943)	4	0
( 995, 771, 943)	5	6
( 995, 771, 943)	6	62
( 963, 771, 943)	0	0
( 963, 771, 943)	1	-82
( 963, 771, 943)	2	-40
( 963, 771, 943)	3	0
( 963, 771, 943)	4	0
( 963, 771, 943)	5	12
( 963, 771, 943)	6	60
( 315, 721, 432)	0	105
( 315, 721, 432)	1	0
( 315, 721, 432)	2	-47
( 315, 721, 432)	3	0
( 315, 721, 432)	4	24
( 315, 721, 432)	5	0
( 315, 721, 432)	6	0
( 315, 721, 184)	0	124
( 315, 721, 184)	1	0
( 315, 721, 184)	2	-38
( 315, 721, 184)	3	0
( 315, 721, 184)	4	36
( 315, 721, 184)	5	0
( 315, 721, 184)	6	0
( 315, 432, 184)	0	137
( 315, 432, 184)	1	0
( 315, 432, 184)	2	-30
( 315, 432, 184)	3	0
( 315, 432, 184)	4	31
